run_id,model_name,quantization_type,split_point,dataset_name,batch_size,mem-peak-mb,mem-first-mb,mem-usage-mb,time,bandwidth,model-size
run_itV2J4Uw,ResNet18,ptq,2,Cifar10_IID,128,2373.09375,1211.19140625,1161.90234375,0.235426664352417,12846949,722804
run_Y516gFlo,ResNet18,full,3,Cifar10_IID,128,3407.15625,1386.8828125,2020.2734375,2.1545944213867188,25691961,11179192
run_Y516gFlo,ResNet18,full,3,Cifar10_IID,128,3395.46875,1385.9609375,2009.5078125,2.542755603790283,25691961,11179192
run_Y516gFlo,ResNet18,full,3,Cifar10_IID,128,3408.4140625,1386.0703125,2022.34375,2.3420629501342773,25691961,11179192
run_Y516gFlo,ResNet18,full,3,Cifar10_IID,128,3389.48828125,1385.97265625,2003.515625,2.3433332443237305,25691961,11179192
run_Y516gFlo,ResNet18,full,3,Cifar10_IID,128,3407.90625,1385.9609375,2021.9453125,2.5773863792419434,25691961,11179192
run_Y516gFlo,ResNet18,full,3,Cifar10_IID,128,3404.6484375,1385.72265625,2018.92578125,2.0677154064178467,25691961,11179192
run_Y516gFlo,ResNet18,full,3,Cifar10_IID,128,3402.3984375,1385.8828125,2016.515625,2.438199043273926,25691961,11179192
run_Y516gFlo,ResNet18,full,3,Cifar10_IID,128,3406.84375,1385.76953125,2021.07421875,2.0817744731903076,25691961,11179192
run_Y516gFlo,ResNet18,full,3,Cifar10_IID,128,3407.921875,1385.90625,2022.015625,2.2103350162506104,25691961,11179192
run_Y516gFlo,ResNet18,full,3,Cifar10_IID,128,3407.29296875,1385.97265625,2021.3203125,2.1495280265808105,25691961,11179192
run_gBLIOMyw,ResNet18,ptq,3,Cifar10_IID,128,2575.97265625,1312.6484375,1263.32421875,0.309814453125,6424421,2856451
run_gBLIOMyw,ResNet18,ptq,3,Cifar10_IID,128,2591.93359375,1312.5859375,1279.34765625,0.5411784648895264,6424421,2856451
run_gBLIOMyw,ResNet18,ptq,3,Cifar10_IID,128,2587.5546875,1312.5625,1274.9921875,0.34992194175720215,6424421,2856451
run_gBLIOMyw,ResNet18,ptq,3,Cifar10_IID,128,2598.12890625,1312.6484375,1285.48046875,0.37481164932250977,6424421,2856451
run_gBLIOMyw,ResNet18,ptq,3,Cifar10_IID,128,2589.0390625,1312.3125,1276.7265625,0.3125903606414795,6424421,2856451
run_gBLIOMyw,ResNet18,ptq,3,Cifar10_IID,128,2598.30859375,1312.69921875,1285.609375,0.3244187831878662,6424421,2856451
run_gBLIOMyw,ResNet18,ptq,3,Cifar10_IID,128,2592.12109375,1312.76953125,1279.3515625,0.31702446937561035,6424421,2856451
run_gBLIOMyw,ResNet18,ptq,3,Cifar10_IID,128,2590.26171875,1312.41015625,1277.8515625,0.5327973365783691,6424421,2856451
run_gBLIOMyw,ResNet18,ptq,3,Cifar10_IID,128,2598.1328125,1312.51953125,1285.61328125,0.3155860900878906,6424421,2856451
run_gBLIOMyw,ResNet18,ptq,3,Cifar10_IID,128,2599.2578125,1312.40625,1286.8515625,0.3167574405670166,6424421,2856451
run_0q9mV1GQ,MobileNetV2,full,1,Cifar10_IID,128,3425.8046875,1444.1953125,1981.609375,0.4001195430755615,102762299,14133
run_0q9mV1GQ,MobileNetV2,full,1,Cifar10_IID,128,3426.78125,1444.13671875,1982.64453125,0.39235544204711914,102762299,14133
run_0q9mV1GQ,MobileNetV2,full,1,Cifar10_IID,128,3410.61328125,1444.19140625,1966.421875,0.469127893447876,102762299,14133
run_0q9mV1GQ,MobileNetV2,full,1,Cifar10_IID,128,3396.08203125,1444.0859375,1951.99609375,0.3923835754394531,102762299,14133
run_0q9mV1GQ,MobileNetV2,full,1,Cifar10_IID,128,3396.9375,1444.21875,1952.71875,0.39259767532348633,102762299,14133
run_0q9mV1GQ,MobileNetV2,full,1,Cifar10_IID,128,3426.375,1444.1328125,1982.2421875,0.4453420639038086,102762299,14133
run_0q9mV1GQ,MobileNetV2,full,1,Cifar10_IID,128,3409.734375,1444.23046875,1965.50390625,0.4020233154296875,102762299,14133
run_0q9mV1GQ,MobileNetV2,full,1,Cifar10_IID,128,3392.75390625,1444.14453125,1948.609375,0.38411784172058105,102762299,14133
run_0q9mV1GQ,MobileNetV2,full,1,Cifar10_IID,128,3406.01171875,1444.14453125,1961.8671875,0.4007127285003662,102762299,14133
run_0q9mV1GQ,MobileNetV2,full,1,Cifar10_IID,128,3389.75,1444.359375,1945.390625,0.4320845603942871,102762299,14133
run_I99FCABH,MobileNetV2,ptq,1,Cifar10_IID,128,2645.5078125,1371.0,1274.5078125,0.07469296455383301,25692005,9932
run_I99FCABH,MobileNetV2,ptq,1,Cifar10_IID,128,2691.984375,1371.19140625,1320.79296875,0.08199858665466309,25692005,9932
run_I99FCABH,MobileNetV2,ptq,1,Cifar10_IID,128,2691.9921875,1371.07421875,1320.91796875,0.07476091384887695,25692005,9932
run_I99FCABH,MobileNetV2,ptq,1,Cifar10_IID,128,2691.80078125,1371.0078125,1320.79296875,0.07789945602416992,25692005,9932
run_I99FCABH,MobileNetV2,ptq,1,Cifar10_IID,128,2691.984375,1370.98046875,1321.00390625,0.08260703086853027,25692005,9932
run_I99FCABH,MobileNetV2,ptq,1,Cifar10_IID,128,2692.03125,1395.47265625,1296.55859375,0.07359147071838379,25692005,9932
run_I99FCABH,MobileNetV2,ptq,1,Cifar10_IID,128,2691.08984375,1371.078125,1320.01171875,0.0731658935546875,25692005,9932
run_I99FCABH,MobileNetV2,ptq,1,Cifar10_IID,128,2692.01953125,1371.08984375,1320.9296875,0.08243966102600098,25692005,9932
run_I99FCABH,MobileNetV2,ptq,1,Cifar10_IID,128,2692.22265625,1371.05859375,1321.1640625,0.07281708717346191,25692005,9932
run_I99FCABH,MobileNetV2,ptq,1,Cifar10_IID,128,2691.8046875,1371.046875,1320.7578125,0.07644772529602051,25692005,9932
run_I2oqOW9A,MobileNetV2,full,2,Cifar10_IID,128,3965.84765625,1359.54296875,2606.3046875,1.7157511711120605,38537019,86424
run_I2oqOW9A,MobileNetV2,full,2,Cifar10_IID,128,3978.83203125,1359.52734375,2619.3046875,2.1072869300842285,38537019,86424
run_I2oqOW9A,MobileNetV2,full,2,Cifar10_IID,128,3963.29296875,1359.38671875,2603.90625,1.4283442497253418,38537019,86424
run_I2oqOW9A,MobileNetV2,full,2,Cifar10_IID,128,3990.3515625,1359.51953125,2630.83203125,1.4092750549316406,38537019,86424
run_I2oqOW9A,MobileNetV2,full,2,Cifar10_IID,128,3986.76171875,1359.48046875,2627.28125,1.4137201309204102,38537019,86424
run_I2oqOW9A,MobileNetV2,full,2,Cifar10_IID,128,3987.3828125,1359.55859375,2627.82421875,1.4050841331481934,38537019,86424
run_I2oqOW9A,MobileNetV2,full,2,Cifar10_IID,128,3978.453125,1358.51171875,2619.94140625,1.4048724174499512,38537019,86424
run_I2oqOW9A,MobileNetV2,full,2,Cifar10_IID,128,3986.921875,1358.3515625,2628.5703125,1.5294196605682373,38537019,86424
run_I2oqOW9A,MobileNetV2,full,2,Cifar10_IID,128,3988.9296875,1358.53515625,2630.39453125,1.4184448719024658,38537019,86424
run_I2oqOW9A,MobileNetV2,full,2,Cifar10_IID,128,3988.5859375,1358.41015625,2630.17578125,1.4316518306732178,38537019,86424
run_Hv71ySjJ,MobileNetV2,ptq,2,Cifar10_IID,128,2789.83984375,1322.20703125,1467.6328125,0.24705290794372559,9635685,45675
run_Hv71ySjJ,MobileNetV2,ptq,2,Cifar10_IID,128,2790.1328125,1322.3828125,1467.75,0.24624228477478027,9635685,45675
run_Hv71ySjJ,MobileNetV2,ptq,2,Cifar10_IID,128,2789.84375,1322.125,1467.71875,0.2542750835418701,9635685,45675
run_Hv71ySjJ,MobileNetV2,ptq,2,Cifar10_IID,128,2789.84765625,1322.0859375,1467.76171875,0.24613070487976074,9635685,45675
